Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-10-21,0.909,2.143,3.077,-0.713,1.676,3.651
2019-10-22,2.200,2.222,1.562,-1.722,-1.665,1.097
2019-10-23,2.333,0.556,3.125,-1.184,-0.418,1.204
2019-10-24,0.179,2.391,0.890,-1.678,0.520,2.547
2019-10-25,0.429,-0.205,0.814,1.723,0.689,2.776
2019-10-26,1.250,1.154,2.778,1.108,0.702,2.296
2019-10-27,0.882,-2.500,1.667,-1.269,1.711,2.003
2019-10-28,-1.364,1.304,-0.294,-2.281,2.004,3.194
2019-10-29,-1.173,0.106,-0.294,-2.024,0.011,2.815
2019-10-30,3.000,0.000,2.273,-0.474,0.183,1.984
2019-10-31,1.119,0.802,0.333,-1.721,0.892,2.590
2019-11-01,2.789,0.000,0.333,-1.535,1.602,3.245
2019-11-02,4.474,-0.385,0.000,1.103,0.687,3.450
2019-11-03,3.056,-0.938,3.636,0.366,-0.334,2.349
2019-11-04,2.521,-0.068,2.241,-1.578,-0.320,2.026
2019-11-05,0.495,3.333,0.000,-1.681,0.795,2.259
2019-11-06,1.364,3.382,0.000,-0.113,1.342,0.835
2019-11-07,1.602,2.547,0.143,-0.137,1.064,0.875
2019-11-08,-0.278,0.128,0.556,-0.163,0.737,0.588
2019-11-09,3.571,3.000,1.000,0.038,-0.024,-0.042
2019-11-10,2.895,0.455,-0.714,-2.260,1.156,-1.156
2019-11-11,1.842,3.649,1.364,-3.001,-0.243,1.116
2019-11-12,2.021,2.442,1.393,-1.393,0.710,4.072
